0.435,0.771,2
0.008,0.708,0
0.505,0.019,1
0.258,0.545,4
0.423,0.087,1
0.499,0.715,2
0.952,0.608,3
0.06,0.688,0
0.051,0.773,0
0.006,0.753,0
0.434,0.791,2
0.211,0.446,4
0.273,0.426,4
0.087,0.719,0
0.464,0.089,1
0.443,0.781,2
0.979,0.521,3
1.039,0.565,3
0.01,0.801,0
0.54,0.083,1
0.964,0.52,3
0.306,0.506,4
0.279,0.47,4
0.186,0.582,4
1.068,0.573,3
0.48,0.08,1
0.465,0.759,2
0.52,0.117,1
0.11,0.773,0
0.929,0.546,3
0.307,0.522,4
0.142,0.786,0
0.074,0.722,0
0.391,0.681,2
0.493,0.1,1
0.502,0,1
0.312,0.468,4
0.951,0.536,3
0.215,0.526,4
0.994,0.481,3
0.433,0.711,2
0.476,0.058,1
0.381,0.744,2
0.431,0.7,2
0.515,0.733,2
0.201,0.54,4
0.236,0.508,4
0.423,0.688,2
0.431,0.652,2
0.28,0.549,4
0.966,0.55,3
0.545,0.141,1
0.118,0.763,0
0.099,0.75,0
0.49,0.011,1
0.147,0.767,0
0.473,0.092,1
0.265,0.538,4
0.576,0.012,1
0.214,0.529,4
0.426,0.676,2
0.442,0.734,2
0.977,0.535,3
0.997,0.516,3
1.035,0.545,3
0.498,0.712,2
0.449,0.702,2
1.02,0.561,3
0.117,0.804,0
0.549,0.111,1
0.962,0.505,3
0.426,0.775,2
0.097,0.769,0
0.975,0.57,3
0.061,0.861,0
0.098,0.785,0
0.48,0.027,1
0.451,0.051,1
0.439,0.102,1
0.458,0.001,1
0.231,0.495,4
1,0.566,3
0.226,0.467,4
0.452,0.753,2
0.424,0.647,2
0.047,0.823,0
0.254,0.531,4
1.003,0.544,3
0.192,0.525,4
1.047,0.52,3
0.092,0.87,0
0.028,0.838,0
0.943,0.553,3
0.28,0.532,4
0.455,0.687,2
0.067,0.722,0
0.473,0.095,1
0.998,0.553,3
0.49,0.039,1
0.249,0.515,4
